Z propeno,F in,D/F,RR,QREF    ,QCOND   ,FTOPO   ,FFUNDO  ,YETANO  ,YPROPENO,YPROPANO,YPES,XETANO  ,XPROPENO,XPROPANO,TEMPTOPO,TEMPFUND,DELTAP  
0.409611055,1037.5,0.65,2.5,1974940.38,-2040977.27,32759.6592,17639.8165,0.032552709,0.545882583,0.137565584,0.283999124,2.26E-12,8.03E-06,1.13E-05,320.859144,376.101966,0.1666661
0.409611055,1037.5,0.65,3,1974940.33,-2040977.21,32759.6592,17639.8165,0.032552709,0.545882583,0.137565584,0.283999124,2.26E-12,8.03E-06,1.13E-05,320.859144,376.101969,0.1666661
0.409611055,1037.5,0.65,4,1974940.35,-2040977.23,32759.6592,17639.8165,0.032552709,0.545882584,0.137565584,0.283999123,2.26E-12,8.03E-06,1.13E-05,320.859144,376.101968,0.1666661
0.409611055,1167.16,0.25,1,803367.31,-892201.075,14174.5187,42501.5353,0.084619976,0.759769301,0.154983348,0.000627375,5.69E-06,0.219959437,0.067602655,306.561674,349.898343,0.1545728
0.409611055,1167.16,0.25,1.5,803351.258,-892202.043,14174.5186,42501.535,0.084619962,0.759765121,0.154987555,0.000627362,5.70E-06,0.21996085,0.067601255,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,1.98,803351.263,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,2.5,803351.262,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,3,803351.262,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.25,4,803351.262,-892202.04,14174.5186,42501.535,0.084619962,0.759765112,0.154987564,0.000627362,5.70E-06,0.219960853,0.067601252,306.561695,349.897934,0.1545736
0.409611055,1167.16,0.35,1,1159493.56,-1225539.83,19844.3262,36836.2712,0.060454929,0.778172654,0.160689051,0.000683366,5.49E-08,0.126931056,0.051070999,309.103826,358.218912,0.1580023
0.409611055,1167.16,0.35,1.5,1159488.75,-1225541.33,19844.3259,36836.2714,0.060454929,0.778170832,0.160690864,0.000683375,5.51E-08,0.126932039,0.051070023,309.103842,358.21886,0.1580017
0.409611055,1167.16,0.35,1.98,1159488.77,-1225541.34,19844.3259,36836.2714,0.060454929,0.778170932,0.160690764,0.000683375,5.51E-08,0.126931986,0.051070077,309.103842,358.218861,0.1580017
0.409611055,1167.16,0.35,2.5,1159488.77,-1225541.34,19844.3259,36836.2714,0.060454929,0.778170933,0.160690763,0.000683375,5.51E-08,0.126931985,0.051070078,309.103842,358.218861,0.1580017
0.409611055,1167.16,0.35,3,1159488.77,-1225541.34,19844.3259,36836.2714,0.060454929,0.778170933,0.160690763,0.000683375,5.51E-08,0.126931985,0.051070078,309.103842,358.218861,0.1580017
0.409611055,1167.16,0.35,4,1159488.77,-1225541.34,19844.3259,36836.2714,0.060454929,0.778170933,0.160690763,0.000683375,5.51E-08,0.126931985,0.051070078,309.103842,358.218861,0.1580017
0.409611055,1167.16,0.4594,1,1560987.04,-1587663.7,26047.0954,30638.3279,0.046058469,0.766558659,0.186665663,0.000717209,4.31E-10,0.004939962,0.006786688,310.80238,372.88942,0.1615318
0.409611055,1167.16,0.4594,1.5,1560985.74,-1587662.93,26047.0954,30638.3277,0.046058469,0.766556069,0.186667907,0.000717555,4.33E-10,0.004942164,0.006784781,310.802406,372.889283,0.1615297
0.409611055,1167.16,0.4594,1.98,1560985.71,-1587662.94,26047.0954,30638.3277,0.046058469,0.766555997,0.186667963,0.000717571,4.33E-10,0.004942225,0.006784733,310.802406,372.88928,0.1615295
0.409611055,1167.16,0.4594,2.5,1560985.71,-1587662.94,26047.0954,30638.3277,0.046058469,0.766555995,0.186667963,0.000717573,4.33E-10,0.004942226,0.006784732,310.802406,372.88928,0.1615295
0.409611055,1167.16,0.4594,3,1560985.71,-1587662.94,26047.0954,30638.3277,0.046058469,0.766555995,0.186667963,0.000717573,4.33E-10,0.004942226,0.006784732,310.802406,372.88928,0.1615295
0.409611055,1167.16,0.4594,4,1560985.71,-1587662.94,26047.0954,30638.3277,0.046058469,0.766555995,0.186667963,0.000717573,4.33E-10,0.004942226,0.006784732,310.802406,372.88928,0.1615295
0.409611055,1167.16,0.55,1,1883640.83,-1932812.38,31183.9394,25507.5664,0.038471389,0.645099678,0.162530124,0.153898809,1.24E-11,4.83E-05,6.67E-05,315.855072,374.87116,0.1663656
0.409611055,1167.16,0.55,1.5,1883694.76,-1932988.42,31183.9404,25507.5635,0.038471394,0.64509978,0.162530167,0.153898659,1.24E-11,4.83E-05,6.67E-05,315.855176,374.871093,0.1663662
0.409611055,1167.16,0.55,1.98,1883694.29,-1932987.59,31183.9404,25507.5637,0.038471393,0.645099772,0.162530166,0.153898669,1.24E-11,4.83E-05,6.67E-05,315.855177,374.871103,0.1663663
0.409611055,1167.16,0.55,2.5,1883694.29,-1932987.59,31183.9404,25507.5637,0.038471393,0.645099772,0.162530166,0.153898669,1.24E-11,4.83E-05,6.67E-05,315.855177,374.871102,0.1663663
0.409611055,1167.16,0.55,3,1883694.29,-1932987.59,31183.9404,25507.5637,0.038471393,0.645099772,0.162530166,0.153898669,1.24E-11,4.83E-05,6.67E-05,315.855177,374.871102,0.1663663
0.409611055,1167.16,0.55,4,1883694.29,-1932987.59,31183.9404,25507.5637,0.038471393,0.645099772,0.162530166,0.153898669,1.24E-11,4.83E-05,6.67E-05,315.855177,374.871102,0.1663663
0.409611055,1167.16,0.65,1,2221831.8,-2296084.64,36853.7469,19844.3265,0.032552713,0.545882649,0.137565598,0.28399904,2.26E-12,8.03E-06,1.13E-05,320.859634,376.112168,0.170093
0.409611055,1167.16,0.65,1.5,2221802.66,-2296048.11,36853.7484,19844.3255,0.03255271,0.545882601,0.137565584,0.283999105,2.27E-12,8.04E-06,1.13E-05,320.859164,376.112186,0.1700913
0.409611055,1167.16,0.65,1.98,2221799.9,-2296046.15,36853.7484,19844.3259,0.032552709,0.545882577,0.137565579,0.283999135,2.27E-12,8.04E-06,1.13E-05,320.859151,376.112286,0.17009
